User Name,Referrer_User Name,Current Level,Activation sequence,Activation_time,Total NFT claim
M1,M1,1,0,10/15/2025 0:00,
M2,M1,1,1,10/15/2025 0:03,
M3,M1,1,2,10/15/2025 0:06,
M4,M1,1,3,10/15/2025 0:09,
N1,M2,1,4,10/15/2025 0:12,
N2,M2,1,5,10/15/2025 0:15,
N3,M2,1,6,10/15/2025 0:18,
O1,M4,1,7,10/15/2025 0:21,
O2,M4,1,8,10/15/2025 0:24,
O3,M4,1,9,10/15/2025 0:27,
M5,M1,1,10,10/15/2025 0:30,
M6,M1,1,11,10/15/2025 0:33,
M7,M1,1,12,10/15/2025 0:36,
M8,M1,1,13,10/15/2025 0:39,
M9,M1,1,14,10/15/2025 0:42,
M10,M1,1,15,10/15/2025 0:45,
N4,M2,1,16,10/15/2025 0:48,
O4,M4,1,17,10/15/2025 0:51,
N5,M2,1,18,10/15/2025 0:54,
O5,M4,1,19,10/15/2025 0:57,
B1,N4,1,20,10/15/2025 1:00,
B2,N4,1,21,10/15/2025 1:03,
B3,N4,1,22,10/15/2025 1:06,
A1,B2,1,23,10/15/2025 1:09,
A2,B2,1,24,10/15/2025 1:12,
A3,B2,1,25,10/15/2025 1:15,
C1,M9,1,26,10/15/2025 1:18,
C2,C1,1,27,10/15/2025 1:21,
C3,C1,1,28,10/15/2025 1:24,
C4,C1,1,29,10/15/2025 1:27,
D1,C3,1,30,10/15/2025 1:30,
D2,D1,1,31,10/15/2025 1:33,
D3,D1,1,32,10/15/2025 1:36,
D4,D1,1,33,10/15/2025 1:39,
D5,D1,1,34,10/15/2025 1:42,
D6,D1,1,35,10/15/2025 1:45,
D7,D1,1,36,10/15/2025 1:48,
D8,D1,1,37,10/15/2025 1:51,
D9,D1,1,38,10/15/2025 1:54,
D10,D1,1,39,10/15/2025 1:57,
D11,D1,1,40,10/15/2025 2:00,
D12,D1,1,41,10/15/2025 2:03,
D13,D1,1,42,10/15/2025 2:06,
D14,D1,1,43,10/15/2025 2:09,
D15,D1,1,44,10/15/2025 2:12,
D16,D1,1,45,10/15/2025 2:15,
D17,D1,1,46,10/15/2025 2:18,
D18,D1,1,47,10/15/2025 2:21,
D19,D1,1,48,10/15/2025 2:24,
D20,D1,1,49,10/15/2025 2:27,
D21,D1,1,50,10/15/2025 2:30,
D22,D1,1,51,10/15/2025 2:33,
D23,D1,1,52,10/15/2025 2:36,
D24,D1,1,53,10/15/2025 2:39,
D25,D1,1,54,10/15/2025 2:42,
D26,D1,1,55,10/15/2025 2:45,
D27,D1,1,56,10/15/2025 2:48,
D28,D1,1,57,10/15/2025 2:51,
D29,D1,1,58,10/15/2025 2:54,
D30,D1,1,59,10/15/2025 2:57,
D31,D1,1,60,10/15/2025 3:00,
D32,D1,1,61,10/15/2025 3:03,
D33,D1,1,62,10/15/2025 3:06,
D34,D1,1,63,10/15/2025 3:09,
D35,D1,1,64,10/15/2025 3:12,
D36,D1,1,65,10/15/2025 3:15,
D37,D1,1,66,10/15/2025 3:18,
D38,D1,1,67,10/15/2025 3:21,
D39,D1,1,68,10/15/2025 3:24,
P1,O4,1,69,10/15/2025 3:27,
P2,O4,1,70,10/15/2025 3:30,
P3,O4,1,71,10/15/2025 3:33,
P4,P3,1,72,10/15/2025 3:36,
