User Name,Referrer_User Name,Current Level,Activation sequence,Activation_time,Total NFT claim
A1,A1,1,0,10/15/2025 0:00,
A2,A1,1,1,10/15/2025 0:03,
A3,A1,1,2,10/15/2025 0:06,
A4,A1,1,3,10/15/2025 0:09,
A5,A1,1,4,10/15/2025 0:12,
A6,A1,1,5,10/15/2025 0:15,
A7,A1,1,6,10/15/2025 0:18,
A8,A1,1,7,10/15/2025 0:21,
A9,A1,1,8,10/15/2025 0:24,
A10,A1,1,9,10/15/2025 0:27,
A11,A1,1,10,10/15/2025 0:30,
A12,A1,1,11,10/15/2025 0:33,
A13,A1,1,12,10/15/2025 0:36,
A14,A1,1,13,10/15/2025 0:39,
A15,A1,1,14,10/15/2025 0:42,
A16,A1,1,15,10/15/2025 0:45,
A17,A1,1,16,10/15/2025 0:48,
A18,A1,1,17,10/15/2025 0:51,
A19,A1,1,18,10/15/2025 0:54,
A20,A1,1,19,10/15/2025 0:57,
A21,A1,1,20,10/15/2025 1:00,
A22,A1,1,21,10/15/2025 1:03,
A23,A1,1,22,10/15/2025 1:06,
A24,A1,1,23,10/15/2025 1:09,
A25,A1,1,24,10/15/2025 1:12,
A26,A1,1,25,10/15/2025 1:15,
A27,A1,1,26,10/15/2025 1:18,
A28,A1,1,27,10/15/2025 1:21,
A29,A1,1,28,10/15/2025 1:24,
A30,A1,1,29,10/15/2025 1:27,
A31,A1,1,30,10/15/2025 1:30,
A32,A1,1,31,10/15/2025 1:33,
A33,A1,1,32,10/15/2025 1:36,
A34,A1,1,33,10/15/2025 1:39,
A35,A1,1,34,10/15/2025 1:42,
A36,A1,1,35,10/15/2025 1:45,
A37,A1,1,36,10/15/2025 1:48,
A38,A1,1,37,10/15/2025 1:51,
A39,A1,1,38,10/15/2025 1:54,
A40,A1,1,39,10/15/2025 1:57,
A41,A1,1,40,10/15/2025 2:00,
A42,A1,1,41,10/15/2025 2:03,
A43,A1,1,42,10/15/2025 2:06,
A44,A1,1,43,10/15/2025 2:09,
A45,A1,1,44,10/15/2025 2:12,
A46,A1,1,45,10/15/2025 2:15,
A47,A1,1,46,10/15/2025 2:18,
A48,A1,1,47,10/15/2025 2:21,
A49,A1,1,48,10/15/2025 2:24,
A50,A1,1,49,10/15/2025 2:27,
A51,A1,1,50,10/15/2025 2:30,
A52,A1,1,51,10/15/2025 2:33,
A53,A1,1,52,10/15/2025 2:36,
A54,A1,1,53,10/15/2025 2:39,
